delivery_date,loaded_vehicles
2024-02-24,1029
2024-02-26,896
2024-02-27,1917
2024-02-28,1884
2024-02-29,1759
2024-03-01,1683
2024-03-02,951
2024-03-04,766
2024-03-05,1871
2024-03-06,1532
2024-03-07,1877
2024-03-08,1814
2024-03-09,1012
2024-03-11,1043
2024-03-12,1955
2024-03-13,1893
2024-03-14,1762
2024-03-15,1799
2024-03-16,971
2024-03-18,919
2024-03-19,1774
2024-03-20,1914
2024-03-21,1861
2024-03-22,1876
2024-03-23,1064
2024-03-25,1038
2024-03-26,2110
2024-03-27,2154
2024-03-28,1970
2024-03-29,6
2024-03-30,1443
2024-04-01,591
2024-04-02,1911
2024-04-03,1925
2024-04-04,1856
2024-04-05,1769
2024-04-06,1017
2024-04-08,837
2024-04-09,1954
2024-04-10,1954
2024-04-11,1893
2024-04-12,1769
2024-04-13,972
2024-04-15,821
2024-04-16,1979
2024-04-17,1894
2024-04-18,1859
2024-04-19,1756
2024-04-20,1003
2024-04-22,833
2024-04-23,1782
2024-04-24,1940
2024-04-25,1840
2024-04-26,1786
2024-04-27,1007
2024-04-29,988
2024-04-30,2018
2024-05-02,2021
2024-05-03,1956
2024-05-04,1041
2024-05-06,1132
2024-05-07,2049
2024-05-08,1983
2024-05-09,1939
2024-05-10,1923
2024-05-11,1126
2024-05-13,889
2024-05-14,2032
2024-05-15,1865
2024-05-16,1920
2024-05-17,1843
2024-05-18,931
2024-05-19,1
2024-05-20,953
2024-05-21,2006
2024-05-22,1966
2024-05-23,1971
2024-05-24,1775
2024-05-25,924
2024-05-27,977
2024-05-28,2078
2024-05-29,1969
2024-05-30,610
2024-05-31,1938
2024-06-01,955
2024-06-03,939
2024-06-04,2042
2024-06-05,1923
2024-06-06,1908
2024-06-07,1841
2024-06-08,964
2024-06-10,1020
2024-06-11,2044
2024-06-12,2060
2024-06-13,1798
2024-06-14,1849
2024-06-15,845
2024-06-16,2
2024-06-17,1021
2024-06-18,2063
2024-06-19,2023
2024-06-20,1964
2024-06-21,1831
2024-06-22,875
2024-06-23,4
2024-06-24,623
2024-06-25,1593
2024-06-26,2172
2024-06-27,2004
2024-06-28,1927
2024-06-29,1066
2024-07-01,599
2024-07-02,1690
2024-07-03,1925
2024-07-04,1926
2024-07-05,1929
2024-07-06,874
2024-07-08,929
2024-07-09,2007
2024-07-10,2036
2024-07-11,1976
2024-07-12,1929
2024-07-13,807
2024-07-14,4
2024-07-15,990
2024-07-16,1811
2024-07-17,1962
2024-07-18,1937
2024-07-19,1787
2024-07-20,915
2024-07-21,1
2024-07-22,1040
2024-07-23,2079
2024-07-24,2001
2024-07-25,1961
2024-07-26,1741
2024-07-27,877
2024-07-28,3
2024-07-29,1081
2024-07-30,2087
2024-07-31,1943
2024-08-01,1823
2024-08-02,1805
2024-08-03,788
2024-08-05,992
2024-08-06,2049
2024-08-07,2029
2024-08-08,1995
2024-08-09,1889
2024-08-10,910
2024-08-11,2
2024-08-12,1184
